Selected Geographies,Year,Total,With health insurance coverage,No health insurance coverage
Ohio,2017,11658609,10940501,718108
Oklahoma,2017,3930864,3368389,562475
Oregon,2017,4142776,3853486,289290
Pennsylvania,2017,12805537,12054447,751090
Rhode Island,2017,1059639,1012050,47589
South Carolina,2017,5024369,4448997,575372
South Dakota,2017,869666,789516,80150
Tennessee,2017,6715984,6061081,654903
Texas,2017,28304596,23244294,5060302
Utah,2017,3101833,2813353,288480
Vermont,2017,623657,597556,26101
Virginia,2017,8470020,7704993,765027
Washington,2017,7405743,6951930,453813
West Virginia,2017,1815857,1702541,113316
Wisconsin,2017,5795483,5484526,310957
Wyoming,2017,579315,507924,71391
